Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate
1,0,0,2.0,3.0,3.8,0.16
0,0,1,1.0,2.0,5.0,0.36
1,1,1,2.0,4.483831334774917,5.8,0.49
0,0,1,1.0,1.0,2.6,0.2
1,0,0,3.0,7.0,6.9,0.52
0,1,1,2.0,4.0,3.6,0.29
1,0,0,3.0,6.0,7.9,0.62
1,0,1,2.0,4.0,4.4,0.33
1,0,0,3.0,6.0,5.729851125450941,0.56
1,1,0,3.0,6.0,5.729851125450941,0.67
0,1,1,2.0,3.0,5.3,0.5
0,0,1,0.0,1.0,1.8,0.12
0,0,1,2.0,5.0,5.729851125450941,0.4
1,1,0,1.0,3.0,5.729851125450941,0.33
0,1,1,1.0,3.0,5.8,0.51
1,0,1,3.0,5.0,4.7,0.32
0,0,1,1.0,2.0,5.9,0.39
0,0,0,3.0,6.0,6.7,0.59
1,1,1,2.0,4.0,4.0,0.22
1,0,0,3.0,5.0,5.729851125450941,0.68
0,1,0,2.0,4.0,7.6,0.57
0,0,1,1.0,3.0,6.3,0.47
0,0,1,1.0,3.0,6.7,0.46
1,1,1,3.0,4.483831334774917,7.7,0.61
1,0,0,3.0,8.0,5.729851125450941,0.91
1,0,1,3.0,4.483831334774917,5.8,0.4
0,0,0,2.0,4.0,6.6,0.44
1,0,0,2.0,4.0,7.4,0.6
1,0,0,2.0,5.0,6.7,0.46
1,0,1,2.0,4.0,5.729851125450941,0.45
1,1,1,1.0,2.0,3.6,0.2
1,0,1,1.0,2.0,3.9,0.2
1,0,0,0.0,1.0,3.0,0.19
0,0,0,1.0,3.0,4.7,0.31
0,1,0,4.0,8.0,8.7,0.81
0,0,1,3.0,5.0,4.4,0.39
1,0,1,3.0,6.0,5.8,0.42
1,1,1,0.0,2.0,3.9,0.19
1,0,1,3.0,7.0,6.6,0.56
1,0,0,4.0,7.0,7.3,0.53
1,0,1,3.0,5.0,5.729851125450941,0.5
1,1,1,1.0,3.0,5.4,0.33
0,0,0,2.0,5.0,5.0,0.45
1,0,1,2.0,3.0,6.0,0.36
1,0,1,3.0,6.0,7.5,0.59
0,0,0,4.0,10.0,10.0,0.94
